# locator.tsv — Saul's fast resolver. Generated by build_index.py on 2026-06-06.
# Look up ONE line: awk -F'\t' '$1=="OR"' register/locator.tsv  (portable exact match; BSD grep
# has no -P). Never Read the whole file. Columns are TAB-separated.
# seed=1 -> file ships in this repo (offline). ranges = article-number BASES present as headings
# (e.g. base 269 covers 269a..). A base absent from ranges = not in this copy: say so and stop
# without reading (no claim/quote made). A base present still needs the file opened to confirm the
# exact article and quote it (Law 2) — every quote comes from a read; not every absence does.
abbrev	sr	file	rank	Stand	status	seed	arts	max	ranges
FDO	172.217.2	cc-1999-461.md	verordnung	2025-01-01	in_force	0	12	12	1-5,7-12
FDV	784.101.1	cc-2007-166.md	verordnung	2026-03-01	in_force	0	97	109	1-15,17,21,23-34,36,38,40,42-53,56-79,81-109
FHG	611.0	cc-2006-227.md	bundesgesetz	2023-09-01	in_force	0	65	67	1-27,29-33,35-40,42-65,67
FHV	611.01	cc-2006-228.md	andere	2026-01-01	in_force	0	73	79	1-2,9-16,18-24,26-36,38-52,54-57,59-60,64-71,73-77,79
FIDLEG	950.1	cc-2019-758.md	bundesgesetz	2024-03-01	in_force	0	95	96	1-6,8-96
FIDLEV	950.11	cc-2019-759.md	verordnung	2022-01-01	in_force	0	112	112	1-112
FIFG	420.1	cc-2013-786.md	bundesgesetz	2026-02-01	in_force	0	54	58	1-20,25-58
FINIG	954.1	cc-2018-801.md	bundesgesetz	2024-03-01	in_force	0	75	75	1-75
FINIV	954.11	cc-2019-763.md	verordnung	2025-01-01	in_force	0	94	94	1-94
FINIV-FINMA	954.111	cc-2020-922.md	verordnung	2021-01-01	in_force	0	27	27	1-27
FINMA-GebV	956.122	cc-2008-749.md	verordnung	2024-03-01	in_force	0	40	40	1-13,15-21,24-27,29-34,37-40
FINMA-PV	956.161	cc-2014-708.md	andere	2015-01-01	in_force	0	17	17	1-17
FINMAG	956.1	cc-2008-736.md	bundesgesetz	2027-01-01	in_force	0	52	61	1-3,6-12,14-23,27-38,40-41,43-45,47-61
FIPBV	420.126	cc-2021-72.md	verordnung	2022-09-15	in_force	0	19	20	1-5,7-20
FK	0.142.30	cc-1955-443_461_469.md	andere	2012-06-14	in_force	0	1	1	1
FKG	614.0	cc-1967-1505_1553_1547.md	bundesgesetz	2027-01-01	in_force	0	9	22	7-9,15-17,19,21-22
FKINV	915.8	cc-2024-653.md	verordnung	2025-01-01	in_force	0	6	6	1-6
FLG	836.1	cc-1952-823_843_839.md	bundesgesetz	2024-01-01	in_force	0	11	26	1,3,8,13-16,18,20,23,26
FLV	836.11	cc-1952-896_916_912.md	verordnung	2014-04-23	in_force	0	7	13	1,7-11,13
FMBV	916.307.1	cc-2011-802.md	verordnung	2026-01-01	in_force	0	22	24	1-4,6-22,24
FMG	784.10	cc-1997-2187_2187_2187.md	bundesgesetz	2023-09-01	in_force	0	36	70	1,3,15,17,22-26,28-30,32-36,42-43,45-50,52-57,59,62,64-65,70
FMV	916.307	cc-2011-772.md	verordnung	2025-01-01	in_force	0	3	3	1-3
FMedG	810.11	cc-2000-554.md	bundesgesetz	2025-08-01	in_force	0	43	44	1-12,14-44
FMedV	810.112.2	cc-2000-555.md	andere	2023-09-01	in_force	0	15	29	5,7-9,13-14,17,21-27,29
FOrgV	836.22	cc-2020-504.md	verordnung	2020-08-01	in_force	0	20	20	1-20
FPG	129	cc-2025-739.md	bundesgesetz	2026-01-01	in_force	0	12	35	1-2,5,12,16-17,27,29,31,33-35
FPV	745.13	cc-2025-48.md	andere	2025-02-01	in_force	0	15	16	1,3-16
FQIV	443.14	cc-2023-533.md	verordnung	2026-01-01	in_force	0	33	40	1-5,7-14,16,18-19,21-25,27-31,33-34,36-40
FRPBV	420.126	cc-2014-503.md	verordnung	2018-05-01	in_force	0	15	19	1-2,4-6,9-11,13-19
FV	741.522	cc-2007-704.md	verordnung	2023-04-01	in_force	0	25	32	1-6,8-16,22,24-32
FV-ÜPF	780.115.1	cc-2023-713.md	verordnung	2024-01-01	in_force	0	13	13	1-13
FVAV	211.432.27	cc-2007-788.md	verordnung	2008-01-01	in_force	0	8	8	1-8
FWG	704	cc-1986-2506_2506_2506.md	bundesgesetz	2023-01-01	in_force	0	12	14	1-2,4-6,8-14
FWV	704.1	cc-1986-2511_2511_2511.md	verordnung	2008-07-01	in_force	0	12	13	1-11,13
FZA	0.142.112.681	cc-2002-243.md	andere	2020-12-15	in_force	0	10	10	1-10
FZG	831.42	cc-1994-2386_2386_2386.md	bundesgesetz	2024-01-01	in_force	0	33	28	1-18,20-21,24-28
FZV	831.425	cc-1994-2399_2399_2399.md	verordnung	2024-03-01	in_force	0	22	24	1,3-6,10-11,13-15,18-19,21-22,24
FamZG	836.2	cc-2008-51.md	bundesgesetz	2026-01-01	in_force	0	38	29	1-29
FamZV	836.21	cc-2008-52.md	verordnung	2025-01-01	in_force	0	30	24	2-6,8-20,22-24
FiFV	443.113	cc-2016-291.md	verordnung	2026-01-01	in_force	0	117	118	1-93,95-118
FiG	443.1	cc-2002-283.md	bundesgesetz	2024-01-01	in_force	0	33	37	1-7,9-12,14-25,27-31,33-37
FiLaG	613.2	cc-2005-225.md	bundesgesetz	2020-01-01	in_force	0	25	24	1-24
FiLaV	613.21	cc-2007-792.md	verordnung	2026-01-01	in_force	0	46	59	1-2,4-9,11-12,14-22,27-30,32-37,39-48,50,55-59
FiREG	734.91	cc-2022-544.md	bundesgesetz	2022-10-01	in_force	0	28	28	1-28
FiREVO	731.31	cc-2022-492.md	verordnung	2022-09-05	in_force	0	26	26	1-26
FiV	443.11	cc-2002-284.md	andere	2024-01-01	in_force	0	23	22	1-22
FinfraG	958.1	cc-2015-853.md	bundesgesetz	2024-02-01	in_force	0	164	164	1-164
FinfraV	958.11	cc-2015-854.md	verordnung	2025-01-01	in_force	0	120	123	1-99,103-123
FinfraV-FINMA	958.111	cc-2015-855.md	verordnung	2023-02-01	in_force	0	51	51	1-51
FrSV	814.911	cc-2008-614.md	verordnung	2025-12-01	in_force	0	24	26	1-16,18-24,26
FusG	221.301	cc-2004-320.md	bundesgesetz	2023-01-01	in_force	0	111	111	1-111
GATT	0.632.21	cc-1959-1745_1807_1812.md	andere	2003-08-12	in_force	0	0	0	-
GBV	211.432.1	cc-2011-667.md	andere	2024-01-01	in_force	0	165	712	1-31,33-165,712
GGBV	741.622	cc-2001-268.md	verordnung	2026-01-01	in_force	0	11	11	1-11
GGUV	930.111.4	cc-2012-797.md	verordnung	2026-01-01	in_force	0	28	28	1-28
GKG	946.202	cc-1997-1697_1697_1697.md	bundesgesetz	2023-07-01	in_force	0	20	23	2-16,18-20,22-23
GKV	946.202.1	cc-2016-352.md	verordnung	2025-11-15	in_force	0	32	32	1-32
GKZ	916.342	cc-2005-823.md	verordnung	2022-01-01	in_force	0	11	11	1-11
GLPV	813.112.1	cc-2005-467.md	verordnung	2012-12-01	in_force	0	20	20	1-20
GR-PatGer	173.413.1	cc-2011-892.md	andere	2023-07-01	in_force	0	15	16	1-12,14-16
GR-WEKO	251.1	cc-2015-655.md	andere	2015-11-01	in_force	0	39	39	1-39
GRN	171.13	cc-2003-514.md	andere	2025-09-08	in_force	0	60	65	1-12,14-24,26,29-39,41-47,49-57,60-65
GRS	171.14	cc-2003-515.md	andere	2025-03-03	in_force	0	46	50	1-20,22-43,47-50
GSG	192.12	cc-2007-860.md	bundesgesetz	2022-11-01	in_force	0	36	36	1-36
GSchG	814.20	cc-1992-1860_1860_1860.md	bundesgesetz	2025-08-01	in_force	0	69	85	1-7,9-14,16-21,24-25,27-47,49,51-60,64,66,70-75,77,80-83,85
GSchV	814.201	cc-1998-2863_2863_2863.md	andere	2028-01-01	in_force	0	42	41	1-25,28-41
GTG	814.91	cc-2003-705.md	bundesgesetz	2022-01-01	in_force	0	37	38	1-26,28-38
GUMG	810.12	cc-2022-537.md	bundesgesetz	2025-08-01	in_force	0	61	61	1-61
GUMV	810.122.1	cc-2022-585.md	verordnung	2023-03-03	in_force	0	76	76	1-76
GUMV-EDI	810.122.122	cc-2007-133.md	verordnung	2017-01-01	in_force	0	2	2	1-2
GVVG	740.1	cc-2009-727.md	bundesgesetz	2024-01-01	in_force	0	11	11	1-11
GaGV	930.116	cc-2017-636.md	verordnung	2018-04-21	in_force	0	3	9	1,3,9
GeBüV	221.431	cc-2002-216.md	verordnung	2013-01-01	in_force	0	12	12	1-12
GebR-BVGer	173.320.3	cc-2008-322.md	reglement	2008-06-01	in_force	0	13	13	1-13
GebR-PatGer	173.413.3	cc-2011-894.md	reglement	2012-01-01	in_force	0	12	12	1-12
GebV BAR	172.041.15	cc-1999-489.md	verordnung	2008-01-01	in_force	0	8	8	1-8
GebV ESTV	642.31	cc-2014-284.md	verordnung	2014-07-01	in_force	0	6	6	1-6
GebV SchKG	281.35	cc-1996-2937_2937_2937.md	bundesgesetz	2026-01-01	in_force	0	57	63	1-9,11-48,51-57,61-63
GebV-AIG	142.209	cc-2007-763.md	verordnung	2024-06-11	in_force	0	6	7	2-7
GebV-ASTRA	172.047.40	cc-2007-786.md	verordnung	2026-01-01	in_force	0	11	79	1-4,6-11,79
GebV-AVG	823.113	cc-1991-425_425_425.md	verordnung	2014-01-01	in_force	0	4	8	1,5-6,8
GebV-Akk	946.513.7	cc-2006-177.md	verordnung	2025-01-01	in_force	0	9	9	1-9
GebV-ArG	822.117	cc-2006-412.md	verordnung	2018-01-01	in_force	0	4	4	1-4
GebV-BAFU	814.014	cc-2005-449.md	verordnung	2025-12-01	in_force	0	9	9	1-9
GebV-BASPO	415.013	cc-2017-732.md	verordnung	2022-12-01	in_force	0	11	11	1-11
GebV-BAZL	748.112.11	cc-2007-720.md	verordnung	2024-08-01	in_force	0	15	16	1-5,7-16
GebV-BJ	172.041.14	cc-2006-533.md	verordnung	2023-01-23	in_force	0	6	6	1-6
GebV-BLW	910.11	cc-2006-415.md	verordnung	2025-01-01	in_force	0	4	7	3,5-7
GebV-EDA	191.11	cc-2015-652.md	verordnung	2015-11-01	in_force	0	19	19	1-19
GebV-EDI-NBib	432.219.1	cc-2018-513.md	verordnung	2018-10-01	in_force	0	3	3	1-3
GebV-EMK	941.319	cc-2019-684.md	verordnung	2023-01-01	in_force	0	18	18	1-18
GebV-ESA	172.041.18	cc-2023-646.md	verordnung	2024-01-01	in_force	0	6	6	1-6
GebV-En	730.05	cc-2006-762.md	verordnung	2025-01-01	in_force	0	11	17	1,3-5,8-9,13-17
GebV-FMG	784.106	cc-2020-1028.md	verordnung	2024-01-01	in_force	0	53	53	1-53
GebV-HReg	221.411.1	cc-2020-180.md	verordnung	2021-01-01	in_force	0	11	11	1-11
GebV-IGE	232.148	cc-2016-777.md	verordnung	2025-07-01	in_force	0	71	140	1-15,17-19,21,26,31,35,45-47,49-50,53,57,59,61,63,73,96,118,121,124,127,133,140
GebV-KG	251.2	cc-1998-919_919_919.md	verordnung	2025-01-01	in_force	0	6	10	1-4,8,10
GebV-METAS	941.298.2	cc-2006-543.md	verordnung	2025-01-01	in_force	0	10	10	1-10
GebV-NBib	432.219	cc-2018-512.md	verordnung	2018-10-01	in_force	0	8	8	1-8
GebV-Publ	172.041.11	cc-2014-711.md	verordnung	2018-07-01	in_force	0	9	9	1-9
GebV-SAR	414.205.6	cc-2018-336.md	verordnung	2025-07-01	in_force	0	10	10	1-10
GebV-SBFI	412.109.3	cc-2006-404.md	verordnung	2017-01-01	in_force	0	6	6	1-6
GebV-StS	814.56	cc-2017-511.md	verordnung	2021-02-01	in_force	0	11	11	1-11
GebV-TPS	747.201.55	cc-2001-290.md	verordnung	2025-05-01	in_force	0	15	15	1-15
GebV-TVD	916.404.2	cc-2015-771.md	verordnung	2023-01-01	in_force	0	8	8	1-8
GebV-VBS	172.045.103	cc-2006-704.md	verordnung	2023-08-01	in_force	0	10	10	1-10
GebV-fedpol	172.043.60	cc-2016-270.md	verordnung	2023-09-01	in_force	0	6	6	1-6
GebV-swisstopo	510.620.2	cc-2009-760.md	verordnung	2017-12-01	in_force	0	8	8	1-8
GebV-ÜPF	780.115.1	cc-2018-34.md	verordnung	2022-06-01	in_force	0	22	22	1-22
GebV-öV	742.102	cc-1999-116.md	andere	2025-01-01	in_force	0	18	51	8,10,15,17,23,25,27-28,30,34,36,38,40,46,48-51
GebVO St	431.09	cc-2003-326.md	verordnung	2023-09-01	in_force	0	23	24	1-4,6-24
GeoIG	510.62	cc-2008-388.md	bundesgesetz	2023-09-01	in_force	0	48	950	1-47,950
GeoIV	510.620	cc-2008-389.md	verordnung	2025-08-01	in_force	0	50	54	1-42,47-54
GeoIV-swisstopo	510.620.1	cc-2008-390.md	verordnung	2017-07-01	in_force	0	7	8	1-6,8
GeoNV	510.625	cc-2008-393.md	verordnung	2024-01-01	in_force	0	39	39	1-39
GeomV	211.432.261	cc-2008-387.md	verordnung	2024-01-01	in_force	0	42	42	1-42
GesBAV	811.214	cc-2020-19.md	verordnung	2020-02-01	in_force	0	15	15	1-15
GesBG	811.21	cc-2020-16.md	bundesgesetz	2025-07-01	in_force	0	35	36	1-29,31-36
GesBKV	811.212	cc-2020-17.md	verordnung	2020-02-01	in_force	0	11	11	1-11
GgV	831.232.21	cc-1986-46_46_46.md	verordnung	2016-03-01	in_force	0	4	4	1-4
GgV-EDI	831.232.211	cc-2021-708.md	verordnung	2022-01-01	in_force	0	2	2	1-2
GlG	151.1	cc-1996-1498_1498_1498.md	bundesgesetz	2032-07-01	in_force	0	15	18	1-5,7-10,13-18
GwG	955.0	cc-1998-892_892_892.md	bundesgesetz	2024-03-01	in_force	0	1	2	2
GwV	955.01	cc-2015-791.md	verordnung	2023-01-01	in_force	0	24	24	1-24
GwV-BAZG	955.023	cc-2022-597.md	verordnung	2023-01-01	in_force	0	60	62	1-7,9-21,23-62
GwV-EJPD	955.022	cc-2018-803.md	verordnung	2023-01-01	in_force	0	30	30	1-30
GwV-ESBK	955.021	cc-2018-802.md	verordnung	2023-01-01	in_force	0	27	27	1-27
GwV-FINMA	955.033.0	cc-2015-390.md	verordnung	2023-01-01	in_force	0	2	2	1-2
GüTG	742.41	cc-2025-749.md	bundesgesetz	2026-01-01	in_force	0	32	35	1,3-4,6-12,14-35
GüTV	742.411	cc-2025-776.md	verordnung	2026-01-01	in_force	0	54	55	1-24,26-55
HArG	822.31	cc-1983-108_108_108.md	bundesgesetz	2023-07-01	in_force	0	23	23	1-15,17-23
HArGV	822.311	cc-1983-114_114_114.md	verordnung	2008-01-01	in_force	0	16	16	1-16
HBEV-FINMA	952.031.11	cc-2024-139.md	verordnung	2025-01-01	in_force	0	58	58	1-58
HBV	916.344	cc-2013-727.md	verordnung	2025-01-01	in_force	0	25	25	1-25
HELV	814.019	cc-1997-2993_2993_2993.md	verordnung	2022-01-01	in_force	0	4	5	1-3,5
HFG	810.30	cc-2013-617.md	bundesgesetz	2023-09-01	in_force	0	68	68	1-68
HFKG	414.20	cc-2014-691.md	bundesgesetz	2025-06-01	in_force	0	79	81	1-49,51-69,71-81
HFMV 20	951.262	cc-2020-875.md	verordnung	2025-05-01	in_force	0	23	23	1-23
HFMV 22	951.264	cc-2022-61.md	verordnung	2025-05-01	in_force	0	20	20	1-20
HFV	810.301	cc-2013-642.md	verordnung	2024-11-01	in_force	0	48	49	1-22,24-49
HGVAnG	742.140.3	cc-2005-555.md	bundesgesetz	2010-01-01	in_force	0	13	13	1-13
HHV	814.021	cc-2021-306.md	verordnung	2022-01-01	in_force	0	24	24	1-24
HKSV	730.010.1	cc-2017-764.md	verordnung	2027-01-01	in_force	0	10	10	1-10
HKsÜ	0.211.231.011	cc-2009-380.md	andere	2026-01-19	in_force	0	63	63	1-63
HMG	812.21	cc-2001-422.md	bundesgesetz	2027-01-01	in_force	0	4	4	1-4
HRegV	221.411	cc-2007-686.md	andere	2025-01-01	in_force	0	47	46	1-19,21-34,36-46
HSBBV	414.201.1	cc-2016-742.md	verordnung	2017-01-01	in_force	0	25	25	1-25
HVA	831.135.1	cc-1978-1387_1387_1387.md	verordnung	2024-01-01	in_force	0	4	9	1,3,8-9
HVI	831.232.51	cc-1976-2664_2664_2664.md	verordnung	2024-01-01	in_force	0	6	10	1-2,4-5,9-10
HVUV	832.205.12	cc-1984-1227_1227_1227.md	verordnung	1984-01-01	in_force	0	7	7	1-7
HasLV	232.112.1	cc-2015-611.md	verordnung	2026-01-01	in_force	0	12	12	1-12
HasLV-WBF	232.112.11	cc-2016-709.md	verordnung	2023-01-01	in_force	0	3	3	1-3
HyV	817.024.1	cc-2017-183.md	verordnung	2025-07-01	in_force	0	75	75	1-75
IAMV	172.010.59	cc-2016-610.md	verordnung	2025-05-01	in_force	0	31	31	1-31
IBH-V	412.108.1	cc-2017-574.md	verordnung	2024-01-01	in_force	0	23	23	1-23
IBLV	913.211	cc-2003-782.md	verordnung	2021-04-27	in_force	0	13	13	1-4,7-13
IBSG	415.1	cc-2016-596.md	bundesgesetz	2025-01-01	in_force	0	38	38	1-38
IBSV	415.11	cc-2016-597.md	verordnung	2025-01-01	in_force	0	34	34	1-34
IBTV	814.311.1	cc-2025-250.md	verordnung	2025-05-01	in_force	0	12	12	1-12
IFEG	831.26	cc-2007-802.md	bundesgesetz	2017-01-01	in_force	0	10	10	1-10
IGE-OV	172.010.311	cc-1995-5057_5057_5057.md	verordnung	2010-10-01	in_force	0	10	13	1-7,13
IGE-PersV	172.010.321	cc-1996-2772_2772_2772.md	verordnung	2010-10-01	in_force	0	29	33	1-9,11-20,22-25,27-31,33
IGEG	172.010.31	cc-1995-5050_5050_5050.md	bundesgesetz	2027-01-01	in_force	0	29	98	1-11,13-17,22,28,40-41,43,45,48,58,98
IPFiV	443.122	cc-2016-292.md	verordnung	2026-01-01	in_force	0	41	45	1-14,17,19-38,40-45
IPRG	291	cc-1988-1776_1776_1776.md	bundesgesetz	2026-01-01	in_force	0	197	200	1-9,13-20,22-43,45-60,62-84,86-108,110-112,114-126,128,130-162,165,167-190,192-200
IQG	672.4	cc-2013-6.md	bundesgesetz	2016-01-01	in_force	0	47	48	1-46,48
IR-PatGer	173.413.4	cc-2011-895.md	andere	2013-04-01	in_force	0	12	12	1-12
IRENA	0.731.1	cc-2011-259.md	andere	2023-10-16	in_force	0	0	0	-
IRSG	351.1	cc-1982-846_846_846.md	bundesgesetz	2024-01-01	in_force	0	101	112	1,3,5-9,11-12,14-17,19-21,27-33,35-53,55-58,60-64,68-70,72-73,75-76,78-80,85-86,89-104,106-112
IRSV	351.11	cc-1982-878_878_878.md	verordnung	2020-11-01	in_force	0	39	46	1,3-4,6-13,15-20,22-26,29,31-46
ISABV-V	812.214.4	cc-2018-702.md	verordnung	2026-01-01	in_force	0	21	21	1-21
ISG	128	cc-2022-232.md	bundesgesetz	2025-10-01	in_force	0	3	88	1,87-88
ISLK-V	916.408	cc-2022-272.md	verordnung	2026-01-01	in_force	0	24	30	4-16,18-21,24-30
ISLV	919.117.71	cc-2013-733.md	verordnung	2027-01-01	in_force	0	29	32	1-19,23-32
ISUV	741.57	cc-2018-782.md	verordnung	2025-06-01	in_force	0	20	20	1-20
ISV	128.1	cc-2023-735.md	verordnung	2025-05-01	in_force	0	52	52	1-52
ISVet-V	916.408	cc-2014-325.md	verordnung	2022-01-01	in_force	0	35	32	2,4-14,16-23,25-26,28-32
ISchV	510.411	cc-2007-414.md	verordnung	2023-09-01	in_force	0	22	24	1-7,9-19,21-24
IStrV-BAZG	313.041	cc-2013-639.md	verordnung	2024-01-01	in_force	0	20	21	1-10,12-21
IVG	831.20	cc-1959-827_857_845.md	bundesgesetz	2026-01-01	in_force	0	23	61	1,3-4,7,12,14-17,36-37,39,51,55-57,60-61
IVV	831.201	cc-1961-29_29_29.md	verordnung	2025-06-01	in_force	0	17	41	1,3,7,18-19,26,28,39-41
IVZV	741.58	cc-2018-783.md	verordnung	2026-01-01	in_force	0	25	25	1-25
IdTVD-V	916.404.1	cc-2021-751.md	verordnung	2026-01-01	in_force	0	69	69	1-69
InkHV	211.214.32	cc-2020-4.md	verordnung	2022-01-01	in_force	0	22	24	1-9,11-14,16-24
InsV-FINMA	952.05	cc-2025-557.md	verordnung	2025-10-01	in_force	0	49	50	1-31,33-50
InvV	642.113	cc-1994-2997_2997_2997.md	verordnung	2023-09-01	in_force	0	38	38	1-38
IvDV	812.219	cc-2022-291.md	verordnung	2026-07-01	in_force	0	80	91	1-6,8-25,27-38,44-45,47-54,57-70,72-91
J+S-V-BASPO	415.011.2	cc-2012-463.md	verordnung	2027-01-01	in_force	0	16	30	2-5,7,9-14,25,27-30
JSFVG	446.2	cc-2024-331.md	bundesgesetz	2025-01-01	in_force	0	30	41	1-6,9-21,26,29-30,32-34,37-41
JSFVV	446.21	cc-2024-332.md	verordnung	2025-01-01	in_force	0	12	24	1,3-7,19-24
JSG	922.0	cc-1988-506_506_506.md	bundesgesetz	2025-02-01	in_force	0	25	29	1-21,23,26-27,29
JSV	922.01	cc-1988-517_517_517.md	verordnung	2026-01-01	in_force	0	1	2	2
JStG	311.1	cc-2006-551.md	bundesgesetz	2025-07-01	in_force	0	41	49	1-5,9-37,44-49
JStPO	312.1	cc-2010-226.md	bundesgesetz	2025-07-01	in_force	0	54	54	1-54
KAG	951.31	cc-2006-822.md	bundesgesetz	2024-03-01	in_force	0	2	2	1-2
KAKV-FINMA	951.315.2	cc-2013-118.md	verordnung	2021-01-01	in_force	0	48	48	1-48
KBFHV	861.1	cc-2018-316.md	verordnung	2025-06-06	in_force	0	42	42	1-42
KEG	732.1	cc-2004-723.md	bundesgesetz	2025-04-01	in_force	0	102	107	1-8,10-70,72-75,77-96,99-107
KEV	732.11	cc-2005-68.md	andere	2026-07-01	in_force	0	72	83	2-5,7-13,15-16,18,20-33,35-37,40-47,49-72,74-75,77-83
KFG	442.1	cc-2011-854.md	bundesgesetz	2026-01-01	in_force	0	46	48	1-8,10-14,16-48
KFV	442.11	cc-2011-855.md	verordnung	2021-01-01	in_force	0	14	15	1,3-15
KFZV	251.6	cc-2023-772.md	verordnung	2024-01-01	in_force	0	9	9	1-9
KG	251	cc-1996-546_546_546.md	bundesgesetz	2023-07-01	in_force	0	58	63	1-13,15,18-41,43,45-49,51-63
KGSG	520.3	cc-2014-615.md	bundesgesetz	2016-01-01	in_force	0	24	24	1-24
KGSV	520.31	cc-2014-616.md	verordnung	2016-01-01	in_force	0	10	10	1-10
KGTG	444.1	cc-2005-317.md	bundesgesetz	2026-03-01	in_force	0	33	34	1-13,15-34
KGTV	444.11	cc-2005-318.md	verordnung	2026-01-01	in_force	0	1	1	1
KGVV	444.12	cc-2014-309.md	verordnung	2014-07-01	in_force	0	11	11	1-11
KHG	732.44	cc-2022-43.md	bundesgesetz	2022-01-01	in_force	0	32	32	1-32
KHV	732.441	cc-2021-860.md	andere	2024-01-01	in_force	0	23	23	1-23
KIG	944.0	cc-1992-910_910_910.md	bundesgesetz	2013-01-01	in_force	0	14	14	1-14
KJFG	446.1	cc-2012-698.md	bundesgesetz	2017-01-01	in_force	0	27	27	1-27
KJFV	446.11	cc-2021-864.md	verordnung	2026-01-01	in_force	0	48	48	1-48
KKG	221.214.1	cc-2002-593.md	bundesgesetz	2023-09-01	in_force	0	39	42	1-7,9-31,33-35,37-42
KKV	951.311	cc-2006-859.md	verordnung	2025-11-25	in_force	0	2	4	2,4
KKV-FINMA	951.312	cc-2014-707.md	verordnung	2021-01-01	in_force	0	119	119	1-119
KLV	832.112.31	cc-1995-4964_4964_4964.md	verordnung	2027-01-01	in_force	0	4	5	4-5
KMG	514.51	cc-1998-794_794_794.md	bundesgesetz	2023-09-01	in_force	0	45	47	1-2,4-7,9-13,15-24,26-37,40-47
KMV	514.511	cc-1998-808_808_808.md	verordnung	2025-03-01	in_force	0	5	5	1-5
KOBV	172.010.8	cc-2025-6.md	verordnung	2025-02-01	in_force	0	19	19	1-19
KOV	281.32	cc-27-751_749_771.md	verordnung	2021-08-01	in_force	0	102	100	1-100
KPAV	812.212.24	cc-2018-591.md	verordnung	2025-07-01	in_force	0	48	48	1-48
KPFV	742.120	cc-2015-697.md	verordnung	2025-11-01	in_force	0	45	45	1-18,20-45
KR-PatGer	173.413.2	cc-2011-893.md	reglement	2013-04-01	in_force	0	17	17	1-17
KRG	818.33	cc-2018-289.md	bundesgesetz	2023-09-01	in_force	0	3	38	31,33,38
KRV	818.331	cc-2018-290.md	verordnung	2025-10-15	in_force	0	5	42	36-38,40,42
KV	131.212	cc-1994-1_401_401_361_fga.md	andere	2024-03-03	in_force	0	132	135	1-71,73-74,76-92,94-135
KV-GE	131.234	cc-2013-1846_fga.md	andere	2025-01-01	in_force	0	237	237	1-237
KVAG	832.12	cc-2015-839.md	bundesgesetz	2024-09-01	in_force	0	62	61	1-61
KVAV	832.121	cc-2015-840.md	verordnung	2025-07-15	in_force	0	74	74	1-74
KVG	832.10	cc-1995-1328_1328_1328.md	bundesgesetz	2026-01-01	in_force	0	9	18	1,3,5-10,18
KVV	832.102	cc-1995-3867_3867_3867.md	verordnung	2026-01-01	in_force	0	2	2	1-2
KlG	814.310	cc-2023-655.md	bundesgesetz	2025-01-01	in_force	0	15	15	1-15
KlV	814.310.1	cc-2024-772.md	verordnung	2026-01-01	in_force	0	32	35	1-13,15-16,18-24,26-30,32-35
KlinV	810.305	cc-2013-643.md	verordnung	2025-08-15	in_force	0	72	74	1-41,43,45-74
KlinV-Mep	810.306	cc-2020-553.md	verordnung	2025-05-20	in_force	0	38	50	1-20,32-41,43-50
KoVo	709.17	cc-2016-536.md	verordnung	2016-11-01	in_force	0	8	8	1-8
KreV-FINMA	952.033.21	cc-2024-141.md	verordnung	2025-05-19	in_force	0	149	157	1-9,11-12,14-16,19-22,24-31,33-36,38-79,81-157
LAfV	916.010	cc-2006-416.md	verordnung	2018-01-01	in_force	0	17	21	1-5,7,9-12,16,18-19,21
LBG	748.217.1	cc-1960-1245_1301_1297.md	bundesgesetz	2017-06-01	in_force	0	61	66	1-16,18-60,63,66
LBV	910.91	cc-1999-13.md	verordnung	2026-07-01	in_force	0	24	35	1-2,4-6,8-9,12,15-16,18-25,28,31-33,35
LDV	916.51	cc-2003-738.md	verordnung	2020-10-02	in_force	0	5	17	7-8,14-15,17
LFG	748.0	cc-1950-471_491_479.md	bundesgesetz	2026-01-01	in_force	0	10	38	3,7,9-10,13,16,18,21-22,38
LFV	748.01	cc-1973-1856_1856_1856.md	verordnung	2023-01-01	in_force	0	80	144	2,8-12,15,20,24-29,75-76,80-91,99-100,102-104,106-112,115-117,119-120,122-129,131-133,137-141,143-144
LGBV	642.114	cc-2010-111.md	verordnung	2011-01-01	in_force	0	13	13	1-13
LGV	817.02	cc-2017-63.md	andere	2025-07-01	in_force	0	2	2	1-2
LGeoIV	510.624	cc-2008-391.md	verordnung	2021-03-01	in_force	0	20	21	1-13,15-21
LIV	817.022.16	cc-2017-158.md	verordnung	2025-07-01	in_force	0	3	3	1-3
LMG	817.0	cc-2017-62.md	bundesgesetz	2024-10-01	in_force	0	63	74	1-5,7-10,12-14,18,20-27,29-44,46-54,56-59,61-67,69-74
LMVV	817.042	cc-2020-460.md	verordnung	2026-03-04	in_force	0	2	2	1-2
LMmV	941.201	cc-2006-244.md	verordnung	2021-01-01	in_force	0	26	26	1-26
LPG	221.213.2	cc-1986-926_926_926.md	bundesgesetz	2014-01-01	in_force	0	51	61	1-32,37-46,49-50,52-54,58-59,61
LROV-FINMA	952.033.11	cc-2024-140.md	verordnung	2025-01-01	in_force	0	31	31	1-31
LRV	814.318.142.1	cc-1986-208_208_208.md	andere	2026-01-01	in_force	0	42	43	1-5,7-9,11-22,24-30,34-36,38-39,41-43
LSMG	341	cc-1986-1934_1934_1934.md	bundesgesetz	2018-01-01	in_force	0	20	22	1-3,5-15,17-20,22
